                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   121791623 |   122592485 |   127328353 |   128169917 |   125500713 |   127809224 |   125193771 |   121645691
  Cycles                           |  9940792160 |  9940792160 |  9940792160 |  9940792160 |  9940792160 |  9940792160 |  9940792160 |  9940792160
  IPC                              |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01
  Time (ns)                        |  3823381600 |  3823381600 |  3823381600 |  3823381600 |  3823381600 |  3823381600 |  3823381600 |  3823381600
  Idle time (ns)                   |        -132 |        -704 |        -125 |         -23 |        -559 |        -145 |        -102 |        -457
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    26575923 |    26751850 |    27755939 |    27943232 |    27375002 |    27863040 |    27309070 |    26545261
  num incorrect                    |     1690615 |     1702325 |     1777484 |     1789529 |     1747773 |     1784331 |     1743017 |     1688234
  misprediction rate               |       5.98% |       5.98% |       6.02% |       6.02% |       6.00% |       6.02% |       6.00% |       5.98%
  mpki                             |       13.88 |       13.89 |       13.96 |       13.96 |       13.93 |       13.96 |       13.92 |       13.88
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    12928451 |    13012433 |    13504443 |    13592966 |    13315433 |    13554999 |    13283416 |    12913326
    num misses                     |          29 |          29 |          22 |          22 |          29 |          29 |          29 |          29
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    47830234 |    48143997 |    50027409 |    50354816 |    49294965 |    50214449 |    49173662 |    47772024
    num misses                     |     9578264 |     9475655 |     9789689 |     9799478 |     9871379 |     9816893 |     9678510 |     9511169
    miss rate                      |      20.03% |      19.68% |      19.57% |      19.46% |      20.03% |      19.55% |      19.68% |      19.91%
    mpki                           |       78.64 |       77.29 |       76.89 |       76.46 |       78.66 |       76.81 |       77.31 |       78.19
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |     9578293 |     9475684 |     9789711 |     9799500 |     9871408 |     9816922 |     9678539 |     9511198
    num misses                     |     8029057 |     7821465 |     8005330 |     8010819 |     8118950 |     8055313 |     7969024 |     7919173
    miss rate                      |      83.83% |      82.54% |      81.77% |      81.75% |      82.25% |      82.06% |      82.34% |      83.26%
    mpki                           |       65.92 |       63.80 |       62.87 |       62.50 |       64.69 |       63.03 |       63.65 |       65.10
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    51832627 |    47707215 |    37675445 |    60955697 |    62491095 |    57371911 |    66519022 |    58817882
    num cache misses               |    15246698 |    17050949 |    16278544 |    15634713 |    15298836 |    15802312 |    16902647 |    16016052
    miss rate                      |      29.42% |      35.74% |      43.21% |      25.65% |      24.48% |      27.54% |      25.41% |      27.23%
    mpki                           |      121.97 |      136.40 |      130.22 |      125.07 |      122.39 |      126.41 |      135.22 |      128.12
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   352934750 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |    34021972 |    33928775 |    35083969 |    35184526 |    34822120 |    35137978 |    34619235 |    33857984
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     2985184 |     3006057 |     3087600 |     3137332 |     3066542 |     3065770 |     3009456 |     2942275
