                                   | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                     |  117492857 |  119759378 |  130284491 |  122999882 |  124068095 |  136135733 |  125782211 |  123516287
  Cycles                           |  961343240 |  961343240 |  961343240 |  961343240 |  961343240 |  961343240 |  961343240 |  961343240
  IPC                              |       0.12 |       0.12 |       0.14 |       0.13 |       0.13 |       0.14 |       0.13 |       0.13
  Time (ns)                        |  369747400 |  369747400 |  369747400 |  369747400 |  369747400 |  369747400 |  369747400 |  369747400
  Idle time (ns)                   |       -113 |       -112 |       -101 |        -51 |       -141 |       -115 |       -332 |       -152
  Idle time (%)                    |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats             |            |            |            |            |            |            |            |           
  num correct                      |   26109421 |   26613093 |   28952037 |   27333230 |   27570607 |   30252311 |   27951499 |   27448001
  num incorrect                    |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40
  misprediction rate               |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                        |            |            |            |            |            |            |            |           
  I-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |   13054771 |   13306607 |   14476079 |   13666675 |   13785364 |   15126216 |   13975810 |   13724061
    num misses                     |         13 |         13 |         13 |         13 |         13 |         13 |         13 |         13
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |   52219054 |   53226398 |   57904269 |   54666635 |   55141415 |   60504820 |   55903213 |   54896193
    num misses                     |     870558 |     888840 |     958220 |     911144 |     915823 |     994909 |     928713 |     916056
    miss rate                      |      1.67% |      1.67% |      1.65% |      1.67% |      1.66% |      1.64% |      1.66% |      1.67%
    mpki                           |       7.41 |       7.42 |       7.35 |       7.41 |       7.38 |       7.31 |       7.38 |       7.42
  L2 TLB                           |            |            |            |            |            |            |            |           
    num accesses                   |     870571 |     888853 |     958233 |     911157 |     915836 |     994922 |     928726 |     916069
    num misses                     |     869055 |     887322 |     956730 |     909647 |     914299 |     993390 |     927175 |     914528
    miss rate                      |     99.83% |     99.83% |     99.84% |     99.83% |     99.83% |     99.85% |     99.83% |     99.83%
    mpki                           |       7.40 |       7.41 |       7.34 |       7.40 |       7.37 |       7.30 |       7.37 |       7.40
Cache Summary                      |            |            |            |            |            |            |            |           
  NUCA cache                       |            |            |            |            |            |            |            |           
    num cache accesses             |   30184838 |   30194958 |   30057133 |   30530191 |   30954694 |   39417143 |   49032214 |   40034435
    num cache misses               |     771420 |     771255 |     770702 |     772891 |     774948 |     806690 |     812280 |     786378
    miss rate                      |      2.56% |      2.55% |      2.56% |      2.53% |      2.50% |      2.05% |      1.66% |      1.96%
    mpki                           |       6.17 |       6.17 |       6.17 |       6.18 |       6.20 |       6.45 |       6.50 |       6.29
DRAM summary                       |            |            |            |            |            |            |            |           
  num dram accesses                |  213094915 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns) |       0.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay      |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Coherency Traffic                  |            |            |            |            |            |            |            |           
  num loads from dram              |   15137649 |   15422481 |   16750381 |   15834411 |   15968344 |   17472540 |   16190397 |   15906704
  num loads from dram cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache      |       2724 |       2930 |       3436 |       8021 |      10622 |       4359 |       9665 |       3339
