                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   125289247 |   125206792 |   124699807 |   125268013 |   124910127 |   125247382 |   124724413 |   124693300
  Cycles                           |  3407548820 |  3407548820 |  3407548820 |  3407548820 |  3407548820 |  3407548820 |  3407548820 |  3407548820
  IPC                              |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04
  Time (ns)                        |  1310595700 |  1310595700 |  1310595700 |  1310595700 |  1310595700 |  1310595700 |  1310595700 |  1310595700
  Idle time (ns)                   |        -237 |        -103 |         -56 |        -120 |       -1432 |        -200 |        -294 |        -394
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |     9978502 |     9972132 |     9932946 |     9976863 |     9949202 |     9975269 |     9934848 |     9932443
  num incorrect                    |       55922 |       55922 |       55922 |       55922 |       55922 |       55922 |       55922 |       55922
  misprediction rate               |       0.56% |       0.56% |       0.56% |       0.56% |       0.56% |       0.56% |       0.56% |       0.56%
  mpki                             |        0.45 |        0.45 |        0.45 |        0.45 |        0.45 |        0.45 |        0.45 |        0.45
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |      165647 |      165549 |      164941 |      165623 |      165193 |      165597 |      164971 |      164933
    num misses                     |           1 |           1 |           1 |           1 |           1 |           1 |           1 |           1
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    38104792 |    38079514 |    37923982 |    38098284 |    37988503 |    38091963 |    37931531 |    37921987
    num misses                     |     9977096 |     9996737 |     9964444 |     9995547 |     9958417 |     9956105 |     9988049 |     9925053
    miss rate                      |      26.18% |      26.25% |      26.27% |      26.24% |      26.21% |      26.14% |      26.33% |      26.17%
    mpki                           |       79.63 |       79.84 |       79.91 |       79.79 |       79.72 |       79.49 |       80.08 |       79.60
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |     9977097 |     9996738 |     9964445 |     9995548 |     9958418 |     9956106 |     9988050 |     9925054
    num misses                     |     8704302 |     8735637 |     8766439 |     8634309 |     8746282 |     8659288 |     8840058 |     8654117
    miss rate                      |      87.24% |      87.38% |      87.98% |      86.38% |      87.83% |      86.97% |      88.51% |      87.19%
    mpki                           |       69.47 |       69.77 |       70.30 |       68.93 |       70.02 |       69.14 |       70.88 |       69.40
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    51554580 |    51159163 |    50491425 |    50019895 |    50488016 |    49607964 |    50794087 |    49962888
    num cache misses               |    16408001 |    16415105 |    16325299 |    16414205 |    16426230 |    16361388 |    16255568 |    16476772
    miss rate                      |      31.83% |      32.09% |      32.33% |      32.82% |      32.53% |      32.98% |      32.00% |      32.98%
    mpki                           |      131.26 |      131.32 |      130.60 |      131.31 |      131.40 |      130.89 |      130.04 |      131.81
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   340585214 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |    26081069 |    26291946 |    26370612 |    25971179 |    26344660 |    26145306 |    26402640 |    25995814
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     1457257 |     1340528 |     1303585 |     1444549 |     1309975 |     1347691 |     1390646 |     1420463
