                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   121029887 |   124318245 |   130573767 |   126326114 |   125639944 |   129656320 |   121799928 |   120692351
  Cycles                           |  6686443920 |  6686443920 |  6686443920 |  6686443920 |  6686443920 |  6686443920 |  6686443920 |  6686443920
  IPC                              |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02
  Time (ns)                        |  2571709200 |  2571709200 |  2571709200 |  2571709200 |  2571709200 |  2571709200 |  2571709200 |  2571709200
  Idle time (ns)                   |         -70 |       -5012 |       -2811 |        -121 |         -57 |        -935 |        -127 |       -2585
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    21826464 |    22447684 |    23632658 |    22829281 |    22697668 |    23462522 |    21971553 |    21762457
  num incorrect                    |      874129 |      895833 |      936908 |      908573 |      904579 |      929883 |      879330 |      871975
  misprediction rate               |       3.85% |       3.84% |       3.81% |       3.83% |       3.83% |       3.81% |       3.85% |       3.85%
  mpki                             |        7.22 |        7.21 |        7.18 |        7.19 |        7.20 |        7.17 |        7.22 |        7.22
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    15188002 |    15580678 |    16328259 |    15820639 |    15738570 |    16218853 |    15279945 |    15147694
    num misses                     |          16 |          16 |          16 |          16 |          13 |          16 |          16 |          13
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    52179304 |    53595302 |    56290397 |    54459148 |    54164573 |    55893483 |    52511246 |    52034356
    num misses                     |     6920532 |     6967113 |     7496797 |     7171824 |     7256829 |     7408264 |     6973046 |     6812435
    miss rate                      |      13.26% |      13.00% |      13.32% |      13.17% |      13.40% |      13.25% |      13.28% |      13.09%
    mpki                           |       57.18 |       56.04 |       57.41 |       56.77 |       57.76 |       57.14 |       57.25 |       56.44
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |     6920548 |     6967129 |     7496813 |     7171840 |     7256842 |     7408280 |     6973062 |     6812448
    num misses                     |     6719927 |     6790132 |     7315735 |     6957082 |     7081226 |     7223124 |     6796446 |     6639991
    miss rate                      |      97.10% |      97.46% |      97.58% |      97.01% |      97.58% |      97.50% |      97.47% |      97.47%
    mpki                           |       55.52 |       54.62 |       56.03 |       55.07 |       56.36 |       55.71 |       55.80 |       55.02
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    38414304 |    45296415 |    55607427 |    49471972 |    48985692 |    36559306 |    37969547 |    49167074
    num cache misses               |     9494736 |     9547256 |     9513234 |     9608728 |     9514265 |     9501809 |     9522411 |     9504878
    miss rate                      |      24.72% |      21.08% |      17.11% |      19.42% |      19.42% |      25.99% |      25.08% |      19.33%
    mpki                           |       75.96 |       76.38 |       76.10 |       76.87 |       76.11 |       76.01 |       76.18 |       76.04
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   289646085 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |    26290879 |    27105054 |    28648735 |    27548755 |    27530342 |    28419544 |    26618741 |    26145989
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |      986330 |      924313 |      978413 |     1009546 |     1009190 |      980206 |      937764 |     1026310
