                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   118158211 |   125460934 |   132088259 |   129907656 |   127935726 |   128426083 |   121544143 |   116519822
  Cycles                           |  1186527420 |  1186527420 |  1186527420 |  1186527420 |  1186527420 |  1186527420 |  1186527420 |  1186527420
  IPC                              |        0.10 |        0.11 |        0.11 |        0.11 |        0.11 |        0.11 |        0.10 |        0.10
  Time (ns)                        |   456356700 |   456356700 |   456356700 |   456356700 |   456356700 |   456356700 |   456356700 |   456356700
  Idle time (ns)                   |        -112 |        -404 |        -168 |        -113 |        -178 |       -1063 |        -142 |         -81
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |     8058466 |     8556524 |     9009840 |     8861601 |     8725849 |     8759166 |     8289500 |     7946523
  num incorrect                    |      298196 |      315793 |      332834 |      327768 |      322337 |      323453 |      306444 |      293929
  misprediction rate               |       3.57% |       3.56% |       3.56% |       3.57% |       3.56% |       3.56% |       3.56% |       3.57%
  mpki                             |        2.52 |        2.52 |        2.52 |        2.52 |        2.52 |        2.52 |        2.52 |        2.52
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    11696242 |    12417463 |    13074741 |    12860050 |    12663524 |    12711698 |    12030500 |    11533321
    num misses                     |          28 |          28 |          28 |          28 |          28 |          28 |          28 |          28
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    36728314 |    38999480 |    41057068 |    40377815 |    39767241 |    39920080 |    37780775 |    36219684
    num misses                     |     1973979 |     2046212 |     2192376 |     2136222 |     2153973 |     2114858 |     1985558 |     1900803
    miss rate                      |       5.37% |       5.25% |       5.34% |       5.29% |       5.42% |       5.30% |       5.26% |       5.25%
    mpki                           |       16.71 |       16.31 |       16.60 |       16.44 |       16.84 |       16.47 |       16.34 |       16.31
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |     1974007 |     2046240 |     2192404 |     2136250 |     2154001 |     2114886 |     1985586 |     1900831
    num misses                     |     1775412 |     1811628 |     1973625 |     1901916 |     1948079 |     1893299 |     1767515 |     1681863
    miss rate                      |      89.94% |      88.53% |      90.02% |      89.03% |      90.44% |      89.52% |      89.02% |      88.48%
    mpki                           |       15.03 |       14.44 |       14.94 |       14.64 |       15.23 |       14.74 |       14.54 |       14.43
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    20492000 |    19447942 |    25803505 |    20317525 |    13671944 |    14859764 |    21936093 |    21865833
    num cache misses               |     2247508 |     2264965 |     2305828 |     2260872 |     2123445 |     2074844 |     2107213 |     2173965
    miss rate                      |      10.97% |      11.65% |       8.94% |      11.13% |      15.53% |      13.96% |       9.61% |       9.94%
    mpki                           |       17.98 |       18.12 |       18.45 |       18.09 |       16.99 |       16.60 |       16.86 |       17.39
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    97394906 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     7393202 |     7679196 |     8098916 |     7934997 |     7919757 |     7890350 |     7521901 |     7250065
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |      558962 |      588404 |      613687 |      609093 |      602931 |      610895 |      575158 |      554863
