                                   | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7      
  Instructions                     |    183229942 |    184812436 |    187996320 |    190599713 |    190377153 |    191843718 |    186550351 |    184626116
  Cycles                           |  15834411320 |  15834411320 |  15834411320 |  15834411320 |  15834411320 |  15834411320 |  15834411320 |  15834411320
  IPC                              |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01
  Time (ns)                        |   6090158200 |   6090158200 |   6090158200 |   6090158200 |   6090158200 |   6090158200 |   6090158200 |   6090158200
  Idle time (ns)                   |          -96 |        -1113 |         -217 |         -185 |        -1414 |        -1705 |         -594 |        -1477
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |              |              |              |              |             
  num correct                      |     34159712 |     34468155 |     35091106 |     35600298 |     35556915 |     35843791 |     34808093 |     34431742
  num incorrect                    |      3442624 |      3480016 |      3555268 |      3616954 |      3611646 |      3646422 |      3521007 |      3475628
  misprediction rate               |        9.16% |        9.17% |        9.20% |        9.22% |        9.22% |        9.23% |        9.19% |        9.17%
  mpki                             |        18.79 |        18.83 |        18.91 |        18.98 |        18.97 |        19.01 |        18.87 |        18.83
TLB Summary                        |              |              |              |              |              |              |              |             
  I-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     28018160 |     28271690 |     28782654 |     29200128 |     29164535 |     29399846 |     28550588 |     28241737
    num misses                     |           22 |           22 |           16 |           22 |           22 |           22 |           22 |           22
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     93459444 |     94239835 |     95808222 |     97091018 |     96981159 |     97703575 |     95096094 |     94148009
    num misses                     |     12505269 |     12732931 |     12984179 |     13036251 |     13150231 |     13169936 |     12865974 |     12669442
    miss rate                      |       13.38% |       13.51% |       13.55% |       13.43% |       13.56% |       13.48% |       13.53% |       13.46%
    mpki                           |        68.25 |        68.90 |        69.07 |        68.40 |        69.07 |        68.65 |        68.97 |        68.62
  L2 TLB                           |              |              |              |              |              |              |              |             
    num accesses                   |     12505291 |     12732953 |     12984195 |     13036273 |     13150253 |     13169958 |     12865996 |     12669464
    num misses                     |     11529732 |     11869595 |     12147095 |     12040663 |     12273334 |     12198382 |     11999221 |     11749502
    miss rate                      |       92.20% |       93.22% |       93.55% |       92.36% |       93.33% |       92.62% |       93.26% |       92.74%
    mpki                           |        62.92 |        64.23 |        64.61 |        63.17 |        64.47 |        63.58 |        64.32 |        63.64
Cache Summary                      |              |              |              |              |              |              |              |             
  NUCA cache                       |              |              |              |              |              |              |              |             
    num cache accesses             |     81569599 |     86366153 |     68188958 |     95188691 |    111312131 |    105386260 |     65246074 |    111892974
    num cache misses               |     22272809 |     21702339 |     21600361 |     21419373 |     21790369 |     22458630 |     22427178 |     22127124
    miss rate                      |       27.31% |       25.13% |       31.68% |       22.50% |       19.58% |       21.31% |       34.37% |       19.78%
    mpki                           |       118.79 |       115.74 |       115.20 |       114.23 |       116.21 |       119.78 |       119.61 |       118.01
DRAM summary                       |              |              |              |              |              |              |              |             
  num dram accesses                |    548503048 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf |          inf |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |              |              |              |              |             
  num loads from dram              |     47674631 |     48532954 |     49519756 |     50048119 |     50433848 |     50502008 |     49053200 |     48296707
  num loads from dram cache        |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  num loads from remote cache      |      5039270 |      5097068 |      5163200 |      5238029 |      5292671 |      5243519 |      5098808 |      5020507
