                                   | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7      
  Instructions                     |    184451053 |    183131134 |    187909960 |    188634399 |    191533261 |    192004960 |    187893104 |    184468226
  Cycles                           |  16455189400 |  16455189400 |  16455189400 |  16455189400 |  16455189400 |  16455189400 |  16455189400 |  16455189400
  IPC                              |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01
  Time (ns)                        |   6328919000 |   6328919000 |   6328919000 |   6328919000 |   6328919000 |   6328919000 |   6328919000 |   6328919000
  Idle time (ns)                   |         -101 |         -873 |          -12 |         -176 |         -209 |         -414 |         -450 |         -604
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |              |              |              |              |             
  num correct                      |     37906384 |     37622949 |     38650241 |     38806240 |     39431729 |     39533240 |     38646578 |     37910042
  num incorrect                    |      3650991 |      3622802 |      3724539 |      3739791 |      3800710 |      3810877 |      3724182 |      3651319
  misprediction rate               |        8.79% |        8.78% |        8.79% |        8.79% |        8.79% |        8.79% |        8.79% |        8.79%
  mpki                             |        19.79 |        19.78 |        19.82 |        19.83 |        19.84 |        19.85 |        19.82 |        19.79
TLB Summary                        |              |              |              |              |              |              |              |             
  I-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     21406309 |     21256746 |     21797828 |     21879823 |     22207592 |     22260932 |     21795918 |     21408249
    num misses                     |           24 |           24 |           24 |           24 |           24 |           24 |           24 |           18
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     84245881 |     83642150 |     85828096 |     86159450 |     87485701 |     87701537 |     85820350 |     84253666
    num misses                     |     14896339 |     15126702 |     15447856 |     15391950 |     15432207 |     15590602 |     15333387 |     15123268
    miss rate                      |       17.68% |       18.09% |       18.00% |       17.86% |       17.64% |       17.78% |       17.87% |       17.95%
    mpki                           |        80.76 |        82.60 |        82.21 |        81.60 |        80.57 |        81.20 |        81.61 |        81.98
  L2 TLB                           |              |              |              |              |              |              |              |             
    num accesses                   |     14896363 |     15126726 |     15447880 |     15391974 |     15432231 |     15590626 |     15333411 |     15123286
    num misses                     |     13676468 |     14176762 |     14380531 |     14240733 |     14034549 |     14310946 |     14146335 |     14064611
    miss rate                      |       91.81% |       93.72% |       93.09% |       92.52% |       90.94% |       91.79% |       92.26% |       93.00%
    mpki                           |        74.15 |        77.41 |        76.53 |        75.49 |        73.27 |        74.53 |        75.29 |        76.24
Cache Summary                      |              |              |              |              |              |              |              |             
  NUCA cache                       |              |              |              |              |              |              |              |             
    num cache accesses             |     84213269 |     91324595 |     71906783 |     73880718 |     92098935 |     95233129 |     86393861 |     96309624
    num cache misses               |     25051032 |     26382756 |     26590050 |     26363252 |     25589536 |     26066482 |     24960512 |     25379729
    miss rate                      |       29.75% |       28.89% |       36.98% |       35.68% |       27.78% |       27.37% |       28.89% |       26.35%
    mpki                           |       133.60 |       140.71 |       141.81 |       140.60 |       136.48 |       139.02 |       133.12 |       135.36
DRAM summary                       |              |              |              |              |              |              |              |             
  num dram accesses                |    572411590 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf |          inf |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |              |              |              |              |             
  num loads from dram              |     56613415 |     57241684 |     58087179 |     58014309 |     58524816 |     58726621 |     57666652 |     56912497
  num loads from dram cache        |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  num loads from remote cache      |      1844370 |      1838708 |      1873450 |      1880098 |      1890582 |      1887274 |      1884173 |      1830613
