                                   | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7      
  Instructions                     |    182814567 |    185899996 |    188630883 |    189583876 |    190194926 |    192461871 |    186800113 |    183633751
  Cycles                           |  16015531220 |  16015531220 |  16015531220 |  16015531220 |  16015531220 |  16015531220 |  16015531220 |  16015531220
  IPC                              |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01
  Time (ns)                        |   6159819700 |   6159819700 |   6159819700 |   6159819700 |   6159819700 |   6159819700 |   6159819700 |   6159819700
  Idle time (ns)                   |         -601 |           -7 |          -41 |         -103 |         -183 |         -196 |         -155 |        -1154
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |              |              |              |              |             
  num correct                      |     34078698 |     34680775 |     35215228 |     35401509 |     35521118 |     35964680 |     34857004 |     34238145
  num incorrect                    |      3432707 |      3505726 |      3570181 |      3592760 |      3607341 |      3661233 |      3526894 |      3452267
  misprediction rate               |        9.15% |        9.18% |        9.20% |        9.21% |        9.22% |        9.24% |        9.19% |        9.16%
  mpki                             |        18.78 |        18.86 |        18.93 |        18.95 |        18.97 |        19.02 |        18.88 |        18.80
TLB Summary                        |              |              |              |              |              |              |              |             
  I-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     27951447 |     28446217 |     28884614 |     29037267 |     29135162 |     29498949 |     28590686 |     28082654
    num misses                     |           22 |           22 |           22 |           22 |           16 |           16 |           22 |           22
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     93254748 |     94775536 |     96121068 |     96590713 |     96891527 |     98007968 |     95219070 |     93658579
    num misses                     |     12518441 |     12708068 |     12981920 |     13059449 |     13147408 |     13201679 |     12880992 |     12655591
    miss rate                      |       13.42% |       13.41% |       13.51% |       13.52% |       13.57% |       13.47% |       13.53% |       13.51%
    mpki                           |        68.48 |        68.36 |        68.82 |        68.88 |        69.13 |        68.59 |        68.96 |        68.92
  L2 TLB                           |              |              |              |              |              |              |              |             
    num accesses                   |     12518463 |     12708090 |     12981942 |     13059471 |     13147424 |     13201695 |     12881014 |     12655613
    num misses                     |     11606064 |     11743601 |     12049205 |     12157795 |     12303116 |     12176023 |     12025811 |     11837122
    miss rate                      |       92.71% |       92.41% |       92.82% |       93.10% |       93.58% |       92.23% |       93.36% |       93.53%
    mpki                           |        63.49 |        63.17 |        63.88 |        64.13 |        64.69 |        63.26 |        64.38 |        64.46
Cache Summary                      |              |              |              |              |              |              |              |             
  NUCA cache                       |              |              |              |              |              |              |              |             
    num cache accesses             |     81710495 |     86848381 |     68190918 |     95412770 |    111328992 |    105228675 |     65418445 |    112182319
    num cache misses               |     22354007 |     22135595 |     21538608 |     21616573 |     21758798 |     22272401 |     22599934 |     22356510
    miss rate                      |       27.36% |       25.49% |       31.59% |       22.66% |       19.54% |       21.17% |       34.55% |       19.93%
    mpki                           |       119.22 |       118.05 |       114.87 |       115.29 |       116.05 |       118.78 |       120.53 |       119.23
DRAM summary                       |              |              |              |              |              |              |              |             
  num dram accesses                |    549466177 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf |          inf |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |              |              |              |              |             
  num loads from dram              |     47787482 |     48815641 |     49753905 |     50113640 |     50474934 |     50223924 |     49118711 |     48684469
  num loads from dram cache        |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  num loads from remote cache      |      5026235 |      5122156 |      5177296 |      5208674 |      5274361 |      5256958 |      5096982 |      4995284
