                                   | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7      
  Instructions                     |    184754805 |    182885302 |    190273860 |    190750121 |    187649884 |    191466629 |    189169241 |    183088466
  Cycles                           |  14590475900 |  14590475900 |  14590475900 |  14590475900 |  14590475900 |  14590475900 |  14590475900 |  14590475900
  IPC                              |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01
  Time (ns)                        |   5611721500 |   5611721500 |   5611721500 |   5611721500 |   5611721500 |   5611721500 |   5611721500 |   5611721500
  Idle time (ns)                   |         -101 |          -92 |         -128 |         -120 |          -88 |         -205 |         -488 |         -104
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |              |              |              |              |             
  num correct                      |     40073262 |     39686953 |     41284236 |     41390016 |     40726162 |     41537849 |     41053035 |     39731655
  num incorrect                    |      2632050 |      2600678 |      2712785 |      2719841 |      2671627 |      2732088 |      2694983 |      2603625
  misprediction rate               |        6.16% |        6.15% |        6.17% |        6.17% |        6.16% |        6.17% |        6.16% |        6.15%
  mpki                             |        14.25 |        14.22 |        14.26 |        14.26 |        14.24 |        14.27 |        14.25 |        14.22
TLB Summary                        |              |              |              |              |              |              |              |             
  I-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     19537072 |     19344049 |     20113741 |     20163822 |     19841789 |     20237614 |     19999676 |     19365244
    num misses                     |           29 |           29 |           29 |           29 |           22 |           29 |           29 |           29
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     73019907 |     72267550 |     75188658 |     75374309 |     74143610 |     75662879 |     74745570 |     72347220
    num misses                     |     13182254 |     14081229 |     14688233 |     14609861 |     14678368 |     14469409 |     13601497 |     13338379
    miss rate                      |       18.05% |       19.48% |       19.54% |       19.38% |       19.80% |       19.12% |       18.20% |       18.44%
    mpki                           |        71.35 |        76.99 |        77.20 |        76.59 |        78.22 |        75.57 |        71.90 |        72.85
  L2 TLB                           |              |              |              |              |              |              |              |             
    num accesses                   |     13182283 |     14081258 |     14688262 |     14609890 |     14678390 |     14469438 |     13601526 |     13338408
    num misses                     |     11190012 |     11732357 |     12107953 |     12051392 |     12178545 |     11920296 |     11711117 |     11508280
    miss rate                      |       84.89% |       83.32% |       82.43% |       82.49% |       82.97% |       82.38% |       86.10% |       86.28%
    mpki                           |        60.57 |        64.15 |        63.63 |        63.18 |        64.90 |        62.26 |        61.91 |        62.86
Cache Summary                      |              |              |              |              |              |              |              |             
  NUCA cache                       |              |              |              |              |              |              |              |             
    num cache accesses             |     78384739 |     71311990 |     57694361 |     94387478 |     94221725 |     85232132 |     97741701 |     88181976
    num cache misses               |     23355840 |     25005117 |     25405085 |     24579411 |     23098111 |     22800078 |     23153449 |     23410947
    miss rate                      |       29.80% |       35.06% |       44.03% |       26.04% |       24.51% |       26.75% |       23.69% |       26.55%
    mpki                           |       124.56 |       133.36 |       135.49 |       131.09 |       123.19 |       121.60 |       123.48 |       124.86
DRAM summary                       |              |              |              |              |              |              |              |             
  num dram accesses                |    528404720 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf |          inf |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |              |              |              |              |             
  num loads from dram              |     50184365 |     50545306 |     52536000 |     52575234 |     52153997 |     52428110 |     51618696 |     50359030
  num loads from dram cache        |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  num loads from remote cache      |      4535628 |      4546530 |      4649853 |      4712957 |      4626161 |      4653566 |      4594129 |      4465627
