                                   | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7      
  Instructions                     |    182323790 |    183125772 |    190439989 |    191107578 |    187440643 |    192863936 |    186854813 |    185879421
  Cycles                           |  14611522120 |  14611522120 |  14611522120 |  14611522120 |  14611522120 |  14611522120 |  14611522120 |  14611522120
  IPC                              |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01
  Time (ns)                        |   5619816200 |   5619816200 |   5619816200 |   5619816200 |   5619816200 |   5619816200 |   5619816200 |   5619816200
  Idle time (ns)                   |        -1141 |         -404 |          -54 |         -682 |         -101 |         -847 |         -103 |         -629
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |              |              |              |              |             
  num correct                      |     39569813 |     39739428 |     41322520 |     41465557 |     40680026 |     41834186 |     40553309 |     40336604
  num incorrect                    |      2591422 |      2604241 |      2714976 |      2725690 |      2668429 |      2754357 |      2659456 |      2645688
  misprediction rate               |        6.15% |        6.15% |        6.17% |        6.17% |        6.16% |        6.18% |        6.15% |        6.16%
  mpki                             |        14.21 |        14.22 |        14.26 |        14.26 |        14.24 |        14.28 |        14.23 |        14.23
TLB Summary                        |              |              |              |              |              |              |              |             
  I-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     19285946 |     19369112 |     20131376 |     20200799 |     19819809 |     20382591 |     19758929 |     19656888
    num misses                     |           29 |           29 |           29 |           22 |           29 |           29 |           29 |           29
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     72042492 |     72362162 |     75252335 |     75516821 |     74061701 |     76220130 |     73830135 |     73448975
    num misses                     |     13967711 |     14354383 |     13991936 |     14292183 |     14693588 |     14519540 |     14617785 |     13067152
    miss rate                      |       19.39% |       19.84% |       18.59% |       18.93% |       19.84% |       19.05% |       19.80% |       17.79%
    mpki                           |        76.61 |        78.39 |        73.47 |        74.79 |        78.39 |        75.28 |        78.23 |        70.30
  L2 TLB                           |              |              |              |              |              |              |              |             
    num accesses                   |     13967740 |     14354412 |     13991965 |     14292205 |     14693617 |     14519569 |     14617814 |     13067181
    num misses                     |     11711119 |     11944806 |     12005361 |     11903968 |     12244945 |     11837907 |     12140593 |     11088801
    miss rate                      |       83.84% |       83.21% |       85.80% |       83.29% |       83.34% |       81.53% |       83.05% |       84.86%
    mpki                           |        64.23 |        65.23 |        63.04 |        62.29 |        65.33 |        61.38 |        64.97 |        59.66
Cache Summary                      |              |              |              |              |              |              |              |             
  NUCA cache                       |              |              |              |              |              |              |              |             
    num cache accesses             |     77676135 |     71945671 |     56622059 |     93896729 |     94700460 |     85943759 |     98777070 |     88233198
    num cache misses               |     22635393 |     25601606 |     24347866 |     24095363 |     23573924 |     23468877 |     24148948 |     23444244
    miss rate                      |       29.14% |       35.58% |       43.00% |       25.66% |       24.89% |       27.31% |       24.45% |       26.57%
    mpki                           |       120.72 |       136.54 |       129.85 |       128.51 |       125.72 |       125.16 |       128.79 |       125.03
DRAM summary                       |              |              |              |              |              |              |              |             
  num dram accesses                |    529234434 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf |          inf |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |              |              |              |              |             
  num loads from dram              |     50530985 |     50919466 |     52305120 |     52437181 |     52176528 |     52616152 |     51808118 |     50247119
  num loads from dram cache        |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  num loads from remote cache      |      4475115 |      4535068 |      4642757 |      4713209 |      4642791 |      4673097 |      4537503 |      4502574
