                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   185328611 |   185582426 |   189366164 |   187679907 |   187590659 |   189970345 |   187867699 |   186644553
  Cycles                           |  2574206960 |  2574206960 |  2574206960 |  2574206960 |  2574206960 |  2574206960 |  2574206960 |  2574206960
  IPC                              |        0.07 |        0.07 |        0.07 |        0.07 |        0.07 |        0.07 |        0.07 |        0.07
  Time (ns)                        |   990079600 |   990079600 |   990079600 |   990079600 |   990079600 |   990079600 |   990079600 |   990079600
  Idle time (ns)                   |        -206 |        -106 |        -135 |          -6 |        -105 |        -100 |        -103 |       -1043
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    40112462 |    40154589 |    40782492 |    40502733 |    40487935 |    40882713 |    40533908 |    40330848
  num incorrect                    |      141622 |      143477 |      170818 |      158377 |      157725 |      175382 |      159749 |      150805
  misprediction rate               |       0.35% |       0.36% |       0.42% |       0.39% |       0.39% |       0.43% |       0.39% |       0.37%
  mpki                             |        0.76 |        0.77 |        0.90 |        0.84 |        0.84 |        0.92 |        0.85 |        0.81
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    20303756 |    20328118 |    20691711 |    20529790 |    20521196 |    20749692 |    20547826 |    20430378
    num misses                     |          16 |          16 |          22 |          22 |          16 |          16 |          16 |          22
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    82305092 |    82417103 |    84089258 |    83344778 |    83305255 |    84355738 |    83427697 |    82887765
    num misses                     |     3372536 |     3417244 |     3588511 |     3494096 |     3497315 |     3623203 |     3467858 |     3441735
    miss rate                      |       4.10% |       4.15% |       4.27% |       4.19% |       4.20% |       4.30% |       4.16% |       4.15%
    mpki                           |       18.20 |       18.41 |       18.95 |       18.62 |       18.64 |       19.07 |       18.46 |       18.44
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |     3372552 |     3417260 |     3588533 |     3494118 |     3497331 |     3623219 |     3467874 |     3441757
    num misses                     |     3257410 |     3333731 |     3435942 |     3355349 |     3375174 |     3484265 |     3331011 |     3327345
    miss rate                      |      96.59% |      97.56% |      95.75% |      96.03% |      96.51% |      96.16% |      96.05% |      96.68%
    mpki                           |       17.58 |       17.96 |       18.14 |       17.88 |       17.99 |       18.34 |       17.73 |       17.83
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    49630184 |    51078295 |    48704061 |    49032471 |    47301369 |    61045173 |    72472711 |    62953420
    num cache misses               |     3467536 |     3480092 |     3515539 |     3453108 |     3446039 |     3498506 |     3604264 |     3463190
    miss rate                      |       6.99% |       6.81% |       7.22% |       7.04% |       7.29% |       5.73% |       4.97% |       5.50%
    mpki                           |       18.49 |       18.56 |       18.75 |       18.42 |       18.38 |       18.66 |       19.22 |       18.47
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   337408326 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |    26344836 |    26506680 |    27255792 |    26846520 |    26879592 |    27464968 |    26864279 |    26676449
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |      257674 |      265201 |      328116 |      297299 |      294257 |      323814 |      300218 |      285502
