                                   | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7      
  Instructions                     |    181951911 |    186439940 |    195060078 |    189702653 |    189919341 |    192716081 |    183329548 |    180917645
  Cycles                           |  10101256100 |  10101256100 |  10101256100 |  10101256100 |  10101256100 |  10101256100 |  10101256100 |  10101256100
  IPC                              |         0.02 |         0.02 |         0.02 |         0.02 |         0.02 |         0.02 |         0.02 |         0.02
  Time (ns)                        |   3885098500 |   3885098500 |   3885098500 |   3885098500 |   3885098500 |   3885098500 |   3885098500 |   3885098500
  Idle time (ns)                   |         -100 |           -6 |         -504 |         -485 |         -268 |         -183 |         -115 |         -516
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |              |              |              |              |             
  num correct                      |     33457053 |     34316912 |     35993915 |     34951254 |     34993384 |     35538448 |     33718480 |     33259476
  num incorrect                    |      1235551 |      1261091 |      1304460 |      1277744 |      1278780 |      1292455 |      1243919 |      1229477
  misprediction rate               |        3.56% |        3.54% |        3.50% |        3.53% |        3.53% |        3.51% |        3.56% |        3.56%
  mpki                             |         6.79 |         6.76 |         6.69 |         6.74 |         6.73 |         6.71 |         6.79 |         6.80
TLB Summary                        |              |              |              |              |              |              |              |             
  I-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     22466158 |     23002428 |     24035083 |     23393298 |     23419220 |     23754260 |     22630458 |     22342604
    num misses                     |           16 |           16 |           16 |           16 |           16 |           16 |           16 |           16
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     78315545 |     80239056 |     83931320 |     81637090 |     81729599 |     82926490 |     78905863 |     77872172
    num misses                     |     11110295 |     11432773 |     11994076 |     11714830 |     11592103 |     11827212 |     11211274 |     11037442
    miss rate                      |       14.19% |       14.25% |       14.29% |       14.35% |       14.18% |       14.26% |       14.21% |       14.17%
    mpki                           |        61.06 |        61.32 |        61.49 |        61.75 |        61.04 |        61.37 |        61.15 |        61.01
  L2 TLB                           |              |              |              |              |              |              |              |             
    num accesses                   |     11110311 |     11432789 |     11994092 |     11714846 |     11592119 |     11827228 |     11211290 |     11037458
    num misses                     |     10815895 |     11131520 |     11688404 |     11411853 |     11297142 |     11530371 |     10919154 |     10758539
    miss rate                      |       97.35% |       97.36% |       97.45% |       97.41% |       97.46% |       97.49% |       97.39% |       97.47%
    mpki                           |        59.44 |        59.71 |        59.92 |        60.16 |        59.48 |        59.83 |        59.56 |        59.47
Cache Summary                      |              |              |              |              |              |              |              |             
  NUCA cache                       |              |              |              |              |              |              |              |             
    num cache accesses             |     58480296 |     70064380 |     86323889 |     75611082 |     74905757 |     55829683 |     57637204 |     74872852
    num cache misses               |     15259786 |     15492750 |     15399629 |     15393580 |     15335243 |     15298783 |     15181411 |     15311006
    miss rate                      |       26.09% |       22.11% |       17.84% |       20.36% |       20.47% |       27.40% |       26.34% |       20.45%
    mpki                           |        81.38 |        82.63 |        82.13 |        82.10 |        81.79 |        81.59 |        80.97 |        81.66
DRAM summary                       |              |              |              |              |              |              |              |             
  num dram accesses                |    450593478 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf |          inf |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |              |              |              |              |             
  num loads from dram              |     42243192 |     43551702 |     45703115 |     44330320 |     44252791 |     45132750 |     42743070 |     42026433
  num loads from dram cache        |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  num loads from remote cache      |      1315107 |      1221408 |      1226694 |      1336036 |      1352499 |      1230267 |      1243814 |      1348468
