                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   176053076 |   181226009 |   187829778 |   190563966 |   194036940 |   196196545 |   190654454 |   183479987
  Cycles                           |  2316956460 |  2316956460 |  2316956460 |  2316956460 |  2316956460 |  2316956460 |  2316956460 |  2316956460
  IPC                              |        0.08 |        0.08 |        0.08 |        0.08 |        0.08 |        0.08 |        0.08 |        0.08
  Time (ns)                        |   891137100 |   891137100 |   891137100 |   891137100 |   891137100 |   891137100 |   891137100 |   891137100
  Idle time (ns)                   |        -161 |        -130 |        -120 |        -101 |        -101 |        -101 |        -117 |         -61
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    59055746 |    60790529 |    63007077 |    63923901 |    65087426 |    65810199 |    63954702 |    61547762
  num incorrect                    |     7309505 |     7524545 |     7797055 |     7910746 |     8057428 |     8148961 |     7914082 |     7617159
  misprediction rate               |      11.01% |      11.01% |      11.01% |      11.01% |      11.02% |      11.02% |      11.01% |      11.01%
  mpki                             |       41.52 |       41.52 |       41.51 |       41.51 |       41.53 |       41.53 |       41.51 |       41.51
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    28245881 |    29089671 |    30230609 |    30668271 |    31251481 |    31617748 |    30685240 |    29472552
    num misses                     |           2 |           2 |           2 |           2 |           2 |           2 |           2 |           2
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    61141801 |    62936209 |    65216415 |    66166268 |    67367026 |    68113515 |    66197278 |    63715265
    num misses                     |     1252233 |     1282966 |     1340875 |     1361577 |     1373377 |     1390985 |     1350917 |     1301950
    miss rate                      |       2.05% |       2.04% |       2.06% |       2.06% |       2.04% |       2.04% |       2.04% |       2.04%
    mpki                           |        7.11 |        7.08 |        7.14 |        7.14 |        7.08 |        7.09 |        7.09 |        7.10
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |     1252235 |     1282968 |     1340877 |     1361579 |     1373379 |     1390987 |     1350919 |     1301952
    num misses                     |     1212714 |     1245146 |     1301609 |     1320534 |     1321743 |     1330013 |     1292775 |     1251806
    miss rate                      |      96.84% |      97.05% |      97.07% |      96.99% |      96.24% |      95.62% |      95.70% |      96.15%
    mpki                           |        6.89 |        6.87 |        6.93 |        6.93 |        6.81 |        6.78 |        6.78 |        6.82
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    16602613 |    16691593 |    19812795 |    17391247 |    27410149 |    27565798 |    25104071 |    21038842
    num cache misses               |     2401008 |     2411276 |     2382672 |     2389683 |     2368227 |     2470038 |     2451682 |     2455608
    miss rate                      |      14.46% |      14.45% |      12.03% |      13.74% |       8.64% |       8.96% |       9.77% |      11.67%
    mpki                           |       12.81 |       12.86 |       12.71 |       12.74 |       12.63 |       13.17 |       13.08 |       13.10
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   144665914 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     8178635 |     8371897 |     8657046 |     8713285 |     8805550 |     8881693 |     8640025 |     8393622
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |       23968 |       31243 |       31263 |       32676 |       70508 |       67227 |       49817 |       34773
