                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   247467123 |   249989975 |   251369862 |   251659868 |   251086646 |   250766446 |   249839431 |   247876259
  Cycles                           |  6242014480 |  6242014480 |  6242014480 |  6242014480 |  6242014480 |  6242014480 |  6242014480 |  6242014480
  IPC                              |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04
  Time (ns)                        |  2400774800 |  2400774800 |  2400774800 |  2400774800 |  2400774800 |  2400774800 |  2400774800 |  2400774800
  Idle time (ns)                   |        -399 |         -26 |        -771 |        -550 |        -148 |        -140 |        -380 |        -123
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    50424959 |    50843668 |    51072876 |    51121046 |    51025837 |    50972691 |    50818702 |    50492793
  num incorrect                    |      601168 |      619746 |      629639 |      631656 |      627523 |      625218 |      618550 |      603986
  misprediction rate               |       1.18% |       1.20% |       1.22% |       1.22% |       1.21% |       1.21% |       1.20% |       1.18%
  mpki                             |        2.43 |        2.48 |        2.50 |        2.51 |        2.50 |        2.49 |        2.48 |        2.44
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    26268229 |    26510407 |    26642925 |    26670834 |    26615792 |    26585008 |    26495995 |    26307666
    num misses                     |          22 |          22 |          22 |          16 |          16 |          22 |          16 |          22
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |   109723678 |   110837042 |   111446332 |   111574712 |   111321658 |   111180092 |   110770854 |   109905259
    num misses                     |     6746288 |     6826385 |     7063065 |     6951608 |     7031329 |     7024985 |     6968877 |     6879327
    miss rate                      |       6.15% |       6.16% |       6.34% |       6.23% |       6.32% |       6.32% |       6.29% |       6.26%
    mpki                           |       27.26 |       27.31 |       28.10 |       27.62 |       28.00 |       28.01 |       27.89 |       27.75
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |     6746310 |     6826407 |     7063087 |     6951624 |     7031345 |     7025007 |     6968893 |     6879349
    num misses                     |     6289716 |     6280095 |     6594658 |     6396727 |     6518943 |     6582213 |     6478393 |     6450055
    miss rate                      |      93.23% |      92.00% |      93.37% |      92.02% |      92.71% |      93.70% |      92.96% |      93.76%
    mpki                           |       25.42 |       25.12 |       26.23 |       25.42 |       25.96 |       26.25 |       25.93 |       26.02
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    76384788 |    82119041 |    73078849 |    72732545 |    64608264 |    84807929 |    91353087 |    90446983
    num cache misses               |     8955961 |     8968721 |     8785123 |     8835181 |     8901795 |     9054606 |     9065978 |     8901484
    miss rate                      |      11.72% |      10.92% |      12.02% |      12.15% |      13.78% |      10.68% |       9.92% |       9.84%
    mpki                           |       35.82 |       35.87 |       35.14 |       35.34 |       35.61 |       36.22 |       36.26 |       35.60
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   488263497 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |    40582033 |    40917392 |    41701141 |    41394104 |    41472587 |    41633444 |    41238689 |    40939153
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     1073147 |     1100729 |     1138119 |     1136809 |     1163608 |     1134162 |     1159222 |     1099409
