                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   249241372 |   249168456 |   252193976 |   250803959 |   251199812 |   250077645 |   249989357 |   247367246
  Cycles                           |  6863498460 |  6863498460 |  6863498460 |  6863498460 |  6863498460 |  6863498460 |  6863498460 |  6863498460
  IPC                              |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04
  Time (ns)                        |  2639807100 |  2639807100 |  2639807100 |  2639807100 |  2639807100 |  2639807100 |  2639807100 |  2639807100
  Idle time (ns)                   |        -818 |        -469 |        -304 |        -139 |         -87 |        -146 |        -462 |        -102
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    19558987 |    19553351 |    19787199 |    19679762 |    19710358 |    19623624 |    19616800 |    19414132
  num incorrect                    |       55922 |       55922 |       55922 |       55922 |       55922 |       55922 |       55922 |       55922
  misprediction rate               |       0.29% |       0.29% |       0.28% |       0.28% |       0.28% |       0.28% |       0.28% |       0.29%
  mpki                             |        0.22 |        0.22 |        0.22 |        0.22 |        0.22 |        0.22 |        0.22 |        0.23
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |      314183 |      314095 |      317721 |      316055 |      316529 |      315185 |      315079 |      311937
    num misses                     |           1 |           1 |           1 |           1 |           1 |           1 |           1 |           1
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    76129663 |    76107295 |    77035435 |    76609019 |    76730457 |    76386207 |    76359123 |    75554738
    num misses                     |    20103460 |    20062242 |    20121492 |    20111835 |    20095770 |    20062906 |    20114359 |    19933986
    miss rate                      |      26.41% |      26.36% |      26.12% |      26.25% |      26.19% |      26.27% |      26.34% |      26.38%
    mpki                           |       80.66 |       80.52 |       79.79 |       80.19 |       80.00 |       80.23 |       80.46 |       80.58
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |    20103461 |    20062243 |    20121493 |    20111836 |    20095771 |    20062907 |    20114360 |    19933987
    num misses                     |    17786331 |    17785058 |    17270942 |    17752656 |    17561847 |    17696117 |    17557992 |    17802064
    miss rate                      |      88.47% |      88.65% |      85.83% |      88.27% |      87.39% |      88.20% |      87.29% |      89.31%
    mpki                           |       71.36 |       71.38 |       68.48 |       70.78 |       69.91 |       70.76 |       70.23 |       71.97
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |   103554648 |   103431344 |   102349560 |   101404559 |   102284361 |   100458606 |   103279410 |   100722076
    num cache misses               |    33438401 |    33166621 |    33215537 |    33413557 |    33320224 |    33109854 |    33270834 |    32778184
    miss rate                      |      32.29% |      32.07% |      32.45% |      32.95% |      32.58% |      32.96% |      32.21% |      32.54%
    mpki                           |      133.75 |      132.66 |      132.86 |      133.65 |      133.28 |      132.44 |      133.08 |      131.11
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   691289314 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |    53338142 |    53326568 |    52756219 |    53424834 |    53107953 |    53092086 |    52806690 |    53231061
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     2677938 |     2671449 |     2425059 |     2626066 |     2597332 |     2775337 |     2758333 |     2678344
