                                   | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7      
  Instructions                     |    242904417 |    248294349 |    259169966 |    251897495 |    252329264 |    257243340 |    245548801 |    242654712
  Cycles                           |  13340340000 |  13340340000 |  13340340000 |  13340340000 |  13340340000 |  13340340000 |  13340340000 |  13340340000
  IPC                              |         0.02 |         0.02 |         0.02 |         0.02 |         0.02 |         0.02 |         0.02 |         0.02
  Time (ns)                        |   5130900000 |   5130900000 |   5130900000 |   5130900000 |   5130900000 |   5130900000 |   5130900000 |   5130900000
  Idle time (ns)                   |         -103 |         -101 |          -84 |         -374 |         -230 |         -101 |         -541 |         -116
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |              |              |              |              |             
  num correct                      |     45346181 |     46397798 |     48519679 |     47100145 |     47183950 |     48142934 |     45859983 |     45297176
  num incorrect                    |      1487212 |      1512902 |      1564487 |      1529978 |      1532175 |      1556072 |      1500177 |      1486140
  misprediction rate               |        3.18% |        3.16% |        3.12% |        3.15% |        3.15% |        3.13% |        3.17% |        3.18%
  mpki                             |         6.12 |         6.09 |         6.04 |         6.07 |         6.07 |         6.05 |         6.11 |         6.12
TLB Summary                        |              |              |              |              |              |              |              |             
  I-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     30601500 |     31247040 |     32549425 |     31678384 |     31730048 |     32318933 |     30917886 |     30571586
    num misses                     |           17 |           17 |           14 |           17 |           17 |           17 |           14 |           14
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |    104084081 |    106388189 |    111036146 |    107927378 |    108112017 |    110215662 |    105213708 |    103977635
    num misses                     |     15107671 |     15532151 |     16049293 |     15492564 |     15463209 |     15782256 |     14830897 |     14730612
    miss rate                      |       14.51% |       14.60% |       14.45% |       14.35% |       14.30% |       14.32% |       14.10% |       14.17%
    mpki                           |        62.20 |        62.56 |        61.93 |        61.50 |        61.28 |        61.35 |        60.40 |        60.71
  L2 TLB                           |              |              |              |              |              |              |              |             
    num accesses                   |     15107688 |     15532168 |     16049307 |     15492581 |     15463226 |     15782273 |     14830911 |     14730626
    num misses                     |     14723404 |     15132252 |     15639549 |     15074073 |     15052194 |     15383798 |     14436857 |     14336138
    miss rate                      |       97.46% |       97.43% |       97.45% |       97.30% |       97.34% |       97.48% |       97.34% |       97.32%
    mpki                           |        60.61 |        60.94 |        60.34 |        59.84 |        59.65 |        59.80 |        58.79 |        59.08
Cache Summary                      |              |              |              |              |              |              |              |             
  NUCA cache                       |              |              |              |              |              |              |              |             
    num cache accesses             |     76355690 |     92039334 |    113600925 |     98629621 |     98373572 |     73703145 |     75301605 |     97572644
    num cache misses               |     20435229 |     20633274 |     20483674 |     20487729 |     20427336 |     20366883 |     20329508 |     20345639
    miss rate                      |       26.76% |       22.42% |       18.03% |       20.77% |       20.77% |       27.63% |       27.00% |       20.85%
    mpki                           |        81.74 |        82.53 |        81.93 |        81.95 |        81.71 |        81.47 |        81.32 |        81.38
DRAM summary                       |              |              |              |              |              |              |              |             
  num dram accesses                |    593744798 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf |          inf |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |              |              |              |              |             
  num loads from dram              |     56210862 |     57855773 |     60392815 |     58460861 |     58546699 |     59783746 |     56687637 |     55784868
  num loads from dram cache        |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  num loads from remote cache      |      1541345 |      1405653 |      1433557 |      1470965 |      1471082 |      1436181 |      1436511 |      1585781
