                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   234859493 |   241925053 |   251444638 |   255165340 |   258117235 |   259949202 |   254219987 |   244361389
  Cycles                           |  3131732760 |  3131732760 |  3131732760 |  3131732760 |  3131732760 |  3131732760 |  3131732760 |  3131732760
  IPC                              |        0.07 |        0.08 |        0.08 |        0.08 |        0.08 |        0.08 |        0.08 |        0.08
  Time (ns)                        |  1204512600 |  1204512600 |  1204512600 |  1204512600 |  1204512600 |  1204512600 |  1204512600 |  1204512600
  Idle time (ns)                   |        -563 |        -124 |        -341 |        -129 |        -281 |        -221 |         -70 |        -107
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    78785218 |    81151782 |    84341841 |    85588418 |    86579710 |    87195216 |    85271522 |    81968191
  num incorrect                    |     9745967 |    10044345 |    10443409 |    10599625 |    10721522 |    10796940 |    10560095 |    10146355
  misprediction rate               |      11.01% |      11.01% |      11.02% |      11.02% |      11.02% |      11.02% |      11.02% |      11.01%
  mpki                             |       41.50 |       41.52 |       41.53 |       41.54 |       41.54 |       41.53 |       41.54 |       41.52
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    37875626 |    38996486 |    40478380 |    41073976 |    41550069 |    41856311 |    40921214 |    39382581
    num misses                     |           2 |           2 |           2 |           2 |           2 |           2 |           2 |           2
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    81533394 |    83987769 |    87300709 |    88592834 |    89617048 |    90250825 |    88264764 |    84834694
    num misses                     |     1681009 |     1724019 |     1796106 |     1816698 |     1826323 |     1836747 |     1802120 |     1731477
    miss rate                      |       2.06% |       2.05% |       2.06% |       2.05% |       2.04% |       2.04% |       2.04% |       2.04%
    mpki                           |        7.16 |        7.13 |        7.14 |        7.12 |        7.08 |        7.07 |        7.09 |        7.09
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |     1681011 |     1724021 |     1796108 |     1816700 |     1826325 |     1836749 |     1802122 |     1731479
    num misses                     |     1628715 |     1666863 |     1739337 |     1756768 |     1764241 |     1768505 |     1733310 |     1675067
    miss rate                      |      96.89% |      96.68% |      96.84% |      96.70% |      96.60% |      96.28% |      96.18% |      96.74%
    mpki                           |        6.93 |        6.89 |        6.92 |        6.88 |        6.84 |        6.80 |        6.82 |        6.85
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    22207450 |    22367591 |    26463259 |    23194520 |    36575101 |    36672107 |    33487906 |    28057338
    num cache misses               |     3243585 |     3317684 |     3202260 |     3199943 |     3160088 |     3197197 |     3259004 |     3246839
    miss rate                      |      14.61% |      14.83% |      12.10% |      13.80% |       8.64% |       8.72% |       9.73% |      11.57%
    mpki                           |       12.97 |       13.27 |       12.81 |       12.80 |       12.64 |       12.79 |       13.04 |       12.99
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   193237466 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |    10956063 |    11141634 |    11525004 |    11627256 |    11704788 |    11818742 |    11617254 |    11281720
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |       31991 |       41342 |       80353 |       55807 |       63500 |       66499 |       58631 |       43307
