                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   237276870 |   251406070 |   263368555 |   259025943 |   257312064 |   257372992 |   241949986 |   232322829
  Cycles                           |  2373702240 |  2373702240 |  2373702240 |  2373702240 |  2373702240 |  2373702240 |  2373702240 |  2373702240
  IPC                              |        0.10 |        0.11 |        0.11 |        0.11 |        0.11 |        0.11 |        0.10 |        0.10
  Time (ns)                        |   912962400 |   912962400 |   912962400 |   912962400 |   912962400 |   912962400 |   912962400 |   912962400
  Idle time (ns)                   |        -217 |        -117 |        -110 |        -111 |        -109 |        -112 |         -11 |        -165
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    16190273 |    17155485 |    17971088 |    17675389 |    17558305 |    17562678 |    16508668 |    15850153
  num incorrect                    |      594242 |      629543 |      659262 |      648568 |      644333 |      644605 |      605540 |      581291
  misprediction rate               |       3.54% |       3.54% |       3.54% |       3.54% |       3.54% |       3.54% |       3.54% |       3.54%
  mpki                             |        2.50 |        2.50 |        2.50 |        2.50 |        2.50 |        2.50 |        2.50 |        2.50
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    23485007 |    24883721 |    26067605 |    25637591 |    25467933 |    25474335 |    23946327 |    22993270
    num misses                     |          28 |          28 |          28 |          28 |          28 |          28 |          28 |          28
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    73748084 |    78137980 |    81855858 |    80505811 |    79973099 |    79991537 |    75201963 |    72211924
    num misses                     |     3900105 |     4115940 |     4397957 |     4308309 |     4246031 |     4246991 |     3976632 |     3833664
    miss rate                      |       5.29% |       5.27% |       5.37% |       5.35% |       5.31% |       5.31% |       5.29% |       5.31%
    mpki                           |       16.44 |       16.37 |       16.70 |       16.63 |       16.50 |       16.50 |       16.44 |       16.50
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |     3900133 |     4115968 |     4397985 |     4308337 |     4246059 |     4247019 |     3976660 |     3833692
    num misses                     |     3476345 |     3658108 |     3960250 |     3868467 |     3791968 |     3791722 |     3541691 |     3425643
    miss rate                      |      89.13% |      88.88% |      90.05% |      89.79% |      89.31% |      89.28% |      89.06% |      89.36%
    mpki                           |       14.65 |       14.55 |       15.04 |       14.93 |       14.74 |       14.73 |       14.64 |       14.75
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    40796307 |    38520319 |    51247998 |    40445696 |    27453047 |    30068784 |    44302520 |    43874900
    num cache misses               |     4400663 |     4285653 |     4367844 |     4362727 |     4261116 |     4372962 |     4589148 |     4495702
    miss rate                      |      10.79% |      11.13% |       8.52% |      10.79% |      15.52% |      14.54% |      10.36% |      10.25%
    mpki                           |       17.60 |       17.14 |       17.47 |       17.45 |       17.04 |       17.49 |       18.36 |       17.98
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   194869985 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |    14746194 |    15413999 |    16160363 |    15940893 |    15802080 |    15800465 |    15018676 |    14533626
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     1117780 |     1172781 |     1217750 |     1202715 |     1212921 |     1210440 |     1142126 |     1109328
