Directory,File,Total Cycles,Average PTW Latency (Cycles),L1 Miss Rate Normal Data,L1 Miss Rate Meta Data,L2 Miss Rate Normal Data,L2 Miss Rate Meta Data,LLC Miss Rate Normal Data,LLC Miss Rate Meta Data
CPU/1core,bc,3379418380,184.21,4.749761584044165e-09,0.20601228422810047,2.9297564374530793e-11,0.059809698768758524,8.554867925170129e-11,0.15519914226431264
CPU/1core,bfs,14103327940,143.58,1.5617760418251692e-09,0.27594586802160215,1.9672596884845461e-10,0.31315528834589756,1.1065448557445734e-10,0.18386079734764849
CPU/1core,cc,10798767720,146.83,1.5509484807552099e-09,0.26147842229429774,2.5350888055442056e-10,0.32575874907634017,1.2999423759652018e-10,0.17444881116217914
CPU/1core,dlrm,14098989060,143.25,1.5635135408587075e-09,0.27480728025212886,1.9620893798588668e-10,0.31270199618029393,1.1251155562774784e-10,0.18719517413116782
CPU/1core,gc,9265419800,165.37,1.8449062277881012e-09,0.2667998236420406,2.3014723460335063e-10,0.27220491205804176,1.9765478143085602e-10,0.21038304551364206
CPU/1core,gen,9268106380,165.18,1.8461043804762767e-09,0.2669290021435283,2.30083951890947e-10,0.271842841744416,1.9869728085097904e-10,0.21189073260427194
CPU/1core,pr,12919969920,134.24,1.7171680743999218e-09,0.2682225697368076,1.307755015389489e-10,0.3402960689512091,6.447775646734044e-11,0.16385335794720068
CPU/1core,rnd,2156315460,147.55,1.76237102689214e-09,0.45598259399167407,1.5907919426183526e-10,0.15767166161755175,2.477340554918328e-10,0.25664381585843776
CPU/1core,sssp,7568229760,186.84,1.7544466990315755e-09,0.18609259986775628,2.9514723998147474e-11,0.04200490616314834,9.037270931600005e-11,0.1296109491386016
CPU/1core,tc,2782431340,154.74,1.0694497731833508e-08,0.2541452292928218,9.69117008864373e-11,0.3026663475972794,4.850819745882973e-11,0.1487264122800126
CPU/1core,xs,1846133640,112.67,6.47897557826127e-09,0.20954889666655685,2.1925572468717291e-10,0.19148447392313717,1.8089907349860823e-10,0.31081410476786453
NDP/1core,bc,3385780320,202.75,4.333947645207559e-09,0.007719222806340853,0.0,0.0,4.041966761292315e-11,0.08375326317682952
NDP/1core,bfs,16785144740,261.34,1.1139792421843708e-09,0.01473350657503203,0.0,0.0,1.3289924716275436e-11,0.02050214456225241
NDP/1core,cc,13642515120,266.59,1.025224238837552e-09,0.011385919752705198,0.0,0.0,2.0757062735299314e-11,0.026548089288796373
NDP/1core,dlrm,16768370840,265.17,1.1086523921122193e-09,0.014579233167738015,0.0,0.0,1.3552714506204211e-11,0.02068979829451678
NDP/1core,gc,13996395400,288.18,1.160175733261326e-09,0.01007347443817419,0.0,0.0,2.4958923816598144e-11,0.037681904699258695
NDP/1core,gen,13988023140,286.91,1.1486253059800333e-09,0.009911971741001113,0.0,0.0,2.4554247524122275e-11,0.03761001301222655
NDP/1core,pr,16011804380,247.06,1.2642872304624575e-09,0.04061789042079145,0.0,0.0,4.5820014449304836e-12,0.011824961961380387
NDP/1core,rnd,2012321480,262.28,8.384093419522287e-10,3.357067656417634e-05,0.0,0.0,2.993350012303608e-11,0.019882542082024335
NDP/1core,sssp,9125989340,185.47,1.4772508771798698e-09,0.025749647460923453,0.0,0.0,5.741662700842198e-11,0.09442037514430834
NDP/1core,tc,3336505120,267.37,8.132462259169415e-09,0.017125150299907466,0.0,0.0,2.4970026046844396e-12,0.007752183713722216
NDP/1core,xs,2262060060,155.58,3.119190239431191e-09,0.023521710542695362,0.0,0.0,4.390521279873383e-11,0.1441664775507392
CPU-no-translation/1core,bc,2028947440,N/A,7.806439272783905e-09,N/A,1.3487655436961177e-11,N/A,4.640854367465863e-11,N/A
CPU-no-translation/1core,bfs,10995596820,N/A,1.896607648710358e-09,N/A,1.666222715357435e-11,N/A,4.57345272764087e-12,N/A
CPU-no-translation/1core,cc,8135821980,N/A,1.9129469119860687e-09,N/A,2.249000985443672e-11,N/A,5.825451232510659e-12,N/A
CPU-no-translation/1core,dlrm,10995596820,N/A,1.896607648710358e-09,N/A,1.666222715357435e-11,N/A,4.57345272764087e-12,N/A
CPU-no-translation/1core,gc,6024505760,N/A,2.5890810606554737e-09,N/A,8.787925942499442e-11,N/A,9.697787017870496e-11,N/A
CPU-no-translation/1core,gen,6024505760,N/A,2.5890810606554737e-09,N/A,8.787925942499442e-11,N/A,9.697787017870496e-11,N/A
CPU-no-translation/1core,pr,8392425340,N/A,2.313241709295255e-09,N/A,1.290523243824282e-12,N/A,3.574696094688079e-12,N/A
CPU-no-translation/1core,rnd,1580376200,N/A,1.5932372088300895e-09,N/A,3.5351721550114235e-12,N/A,8.377187832309119e-12,N/A
CPU-no-translation/1core,sssp,5242905720,N/A,2.578845803569152e-09,N/A,1.047617548266544e-11,N/A,4.145650489562058e-11,N/A
CPU-no-translation/1core,tc,2256425600,N/A,1.381174263848095e-08,N/A,8.925082894961633e-13,N/A,2.0426993430078255e-12,N/A
CPU-no-translation/1core,xs,1265032860,N/A,9.117634758304405e-09,N/A,1.7909951299799332e-10,N/A,3.5539793330485736e-11,N/A
NDP-no-translation/1core,bc,2038871380,N/A,7.193204698552336e-09,N/A,0.0,N/A,4.529709940470639e-14,N/A
NDP-no-translation/1core,bfs,10621512460,N/A,2.019669986808026e-09,N/A,0.0,N/A,3.6637359812630166e-14,N/A
NDP-no-translation/1core,cc,8786946480,N/A,1.945159922023265e-09,N/A,0.0,N/A,5.950795411990839e-14,N/A
NDP-no-translation/1core,dlrm,10648129180,N/A,2.0142398859945843e-09,N/A,0.0,N/A,3.674838211509268e-14,N/A
NDP-no-translation/1core,gc,9738224860,N/A,1.900158141943109e-09,N/A,0.0,N/A,1.1324274851176597e-14,N/A
NDP-no-translation/1core,gen,9918165920,N/A,1.9263417527781712e-09,N/A,0.0,N/A,1.1546319456101628e-14,N/A
NDP-no-translation/1core,pr,9786096580,N/A,2.016142142124977e-09,N/A,0.0,N/A,3.3306690738754696e-16,N/A
NDP-no-translation/1core,rnd,747636760,N/A,2.6733312230575734e-09,N/A,0.0,N/A,8.471001677889944e-14,N/A
NDP-no-translation/1core,sssp,7110741560,N/A,2.094017181875074e-09,N/A,0.0,N/A,1.0413891970983968e-13,N/A
NDP-no-translation/1core,tc,2465664760,N/A,1.157371720683642e-08,N/A,0.0,N/A,2.220446049250313e-16,N/A
NDP-no-translation/1core,xs,1584554400,N/A,3.7162600774465204e-09,N/A,0.0,N/A,1.3988810110276972e-14,N/A
