Directory,File,Total Cycles,MMU Latency (Cycles)
CPU/8core,bc,554226140,N/A
CPU/8core,bfs,2513337060,N/A
CPU/8core,cc,2636682100,N/A
CPU/8core,dlrm,2512319420,N/A
CPU/8core,gc,2513466540,N/A
CPU/8core,gen,2505106240,N/A
CPU/8core,pr,1667082820,N/A
CPU/8core,rnd,425858420,N/A
CPU/8core,sssp,2126654140,N/A
CPU/8core,tc,660695360,N/A
CPU/8core,xs,385993660,N/A
NDP/8core,bc,6623232720,N/A
NDP/8core,bfs,N/A,N/A
NDP/8core,cc,N/A,N/A
NDP/8core,dlrm,N/A,N/A
NDP/8core,gc,N/A,N/A
NDP/8core,gen,N/A,N/A
NDP/8core,pr,6242014480,N/A
NDP/8core,rnd,6863498460,N/A
NDP/8core,sssp,13340340000,N/A
NDP/8core,tc,3131732760,N/A
NDP/8core,xs,2373702240,N/A
CPU-no-translation/8core,bc,354569540,N/A
CPU-no-translation/8core,bfs,1913596360,N/A
CPU-no-translation/8core,cc,2019195620,N/A
CPU-no-translation/8core,dlrm,1913981420,N/A
CPU-no-translation/8core,gc,1732954080,N/A
CPU-no-translation/8core,gen,1733034940,N/A
CPU-no-translation/8core,pr,1331621720,N/A
CPU-no-translation/8core,rnd,413754120,N/A
CPU-no-translation/8core,sssp,1166304880,N/A
CPU-no-translation/8core,tc,546037700,N/A
CPU-no-translation/8core,xs,301834000,N/A
NDP-no-translation/8core,bc,6366137700,N/A
NDP-no-translation/8core,bfs,7945656680,N/A
NDP-no-translation/8core,cc,7434431420,N/A
NDP-no-translation/8core,dlrm,7961264740,N/A
NDP-no-translation/8core,gc,8024289260,N/A
NDP-no-translation/8core,gen,8034576940,N/A
NDP-no-translation/8core,pr,3661400340,N/A
NDP-no-translation/8core,rnd,1091767300,N/A
NDP-no-translation/8core,sssp,5754862620,N/A
NDP-no-translation/8core,tc,2138595680,N/A
NDP-no-translation/8core,xs,1663152140,N/A
