Directory,File,Total Cycles,Average PTW Latency (Cycles)
CPU/8core-1500M,bc,342791020,N/A
CPU/8core-1500M,bfs,1788431580,134.37769982861974
CPU/8core-1500M,cc,1941125680,133.8366844024457
CPU/8core-1500M,dlrm,1790649120,133.3951123897517
CPU/8core-1500M,gc,1867589100,126.7212542616305
CPU/8core-1500M,gen,1868218560,129.56113795835503
CPU/8core-1500M,pr,856480300,187.85539571162613
CPU/8core-1500M,rnd,319371520,65.9303679159522
CPU/8core-1500M,sssp,1638453180,193.90776484486278
CPU/8core-1500M,tc,496771600,147.52701001938703
CPU/8core-1500M,xs,290285320,53.938876362967115
NDP/8core-1500M,bc,4073338360,N/A
NDP/8core-1500M,bfs,N/A,N/A
NDP/8core-1500M,cc,N/A,N/A
NDP/8core-1500M,dlrm,N/A,N/A
NDP/8core-1500M,gc,N/A,N/A
NDP/8core-1500M,gen,N/A,N/A
NDP/8core-1500M,pr,2574206960,539.8688223655465
NDP/8core-1500M,rnd,N/A,N/A
NDP/8core-1500M,sssp,N/A,N/A
NDP/8core-1500M,tc,2316956460,572.5468965320404
NDP/8core-1500M,xs,1750264880,468.6537489544154
NDP-HBM/8core-1500M,bc,4973427680,324.2832833380572
NDP-HBM/8core-1500M,bfs,N/A,N/A
NDP-HBM/8core-1500M,cc,N/A,N/A
NDP-HBM/8core-1500M,dlrm,N/A,N/A
NDP-HBM/8core-1500M,gc,N/A,N/A
NDP-HBM/8core-1500M,gen,N/A,N/A
NDP-HBM/8core-1500M,pr,N/A,N/A
NDP-HBM/8core-1500M,rnd,N/A,N/A
NDP-HBM/8core-1500M,sssp,N/A,N/A
NDP-HBM/8core-1500M,tc,3013015720,528.4214250654595
NDP-HBM/8core-1500M,xs,2318827680,422.6212994622498
CPU-no-translation/8core-1500M,bc,237295240,N/A
CPU-no-translation/8core-1500M,bfs,1364549680,N/A
CPU-no-translation/8core-1500M,cc,1486462900,N/A
CPU-no-translation/8core-1500M,dlrm,1364663560,N/A
CPU-no-translation/8core-1500M,gc,1297746840,N/A
CPU-no-translation/8core-1500M,gen,1297735660,N/A
CPU-no-translation/8core-1500M,pr,755359800,N/A
CPU-no-translation/8core-1500M,rnd,307293220,N/A
CPU-no-translation/8core-1500M,sssp,892346520,N/A
CPU-no-translation/8core-1500M,tc,409515080,N/A
CPU-no-translation/8core-1500M,xs,228223580,N/A
NDP-no-translation/8core-1500M,bc,4047613180,N/A
NDP-no-translation/8core-1500M,bfs,5781858160,N/A
NDP-no-translation/8core-1500M,cc,5500110980,N/A
NDP-no-translation/8core-1500M,dlrm,5763745780,N/A
NDP-no-translation/8core-1500M,gc,6013937280,N/A
NDP-no-translation/8core-1500M,gen,6010158440,N/A
NDP-no-translation/8core-1500M,pr,1864167760,N/A
NDP-no-translation/8core-1500M,rnd,816898420,N/A
NDP-no-translation/8core-1500M,sssp,4484863240,N/A
NDP-no-translation/8core-1500M,tc,1598307880,N/A
NDP-no-translation/8core-1500M,xs,1247326340,N/A
NDP-no-translation-HBM/8core-1500M,bc,4850871740,N/A
NDP-no-translation-HBM/8core-1500M,bfs,7812748320,N/A
NDP-no-translation-HBM/8core-1500M,cc,8059987000,N/A
NDP-no-translation-HBM/8core-1500M,dlrm,7813316680,N/A
NDP-no-translation-HBM/8core-1500M,gc,8555984840,N/A
NDP-no-translation-HBM/8core-1500M,gen,8553427480,N/A
NDP-no-translation-HBM/8core-1500M,pr,3797408420,N/A
NDP-no-translation-HBM/8core-1500M,rnd,1934063820,N/A
NDP-no-translation-HBM/8core-1500M,sssp,6898658000,N/A
NDP-no-translation-HBM/8core-1500M,tc,2013654500,N/A
NDP-no-translation-HBM/8core-1500M,xs,1625159380,N/A
